file,scenario,area_m2,duration_s,coverage_pct,energy_mean_pct
fog_small_fog_small_01.summary.json,small,5130.0,180.27,97.55,14.67
fog_small_fog_small_02.summary.json,small,9600.0,264.11,91.67,19.73
fog_medium_run_01.summary (1).json,medium,20700.0,750.0,96.55,50.36
fog_large_fog_large_01.summary.json,large,30360.0,1124.03,86.64,74.37
