task_id,mode,scenario,run_id,fault,num_drones,drone,event_id,latency_sec,comm_delay_sec,completion_time_sec,response_time_sec,detected,completed,confidence,num_persons,detail
fog-00000,fog,medium,run_01,none,3,drone1,E001,1.4778,,,0.1444,1,0,0.281,1,fog_alert
fog-00001,fog,medium,run_01,none,3,drone2,E002,0.436,,,0.1191,1,0,0.614,1,fog_alert
fog-00002,fog,medium,run_01,none,3,drone1,E003,0.5718,,,0.5075,1,0,0.309,1,fog_alert
fog-00003,fog,medium,run_01,none,3,drone1,,0.6819,,,,1,0,0.252,1,fog_alert
