t_rel_sec,mode,scenario,run_id,fault,drone,battery_pct,state
820.26,fog,large,fog_large_01,none,drone1,41.81,FAILED
820.56,fog,large,fog_large_01,none,drone2,42.15,FAILED
820.64,fog,large,fog_large_01,none,drone0,44.63,FAILED
821.25,fog,large,fog_large_01,none,drone1,41.75,FAILED
821.56,fog,large,fog_large_01,none,drone2,42.09,FAILED
821.65,fog,large,fog_large_01,none,drone0,44.57,FAILED
822.25,fog,large,fog_large_01,none,drone1,41.69,FAILED
822.56,fog,large,fog_large_01,none,drone2,42.03,FAILED
822.64,fog,large,fog_large_01,none,drone0,44.51,FAILED
823.25,fog,large,fog_large_01,none,drone1,41.63,FAILED
823.56,fog,large,fog_large_01,none,drone2,41.97,FAILED
823.64,fog,large,fog_large_01,none,drone0,44.45,FAILED
824.25,fog,large,fog_large_01,none,drone1,41.57,FAILED
824.56,fog,large,fog_large_01,none,drone2,41.91,FAILED
824.64,fog,large,fog_large_01,none,drone0,44.39,FAILED
825.26,fog,large,fog_large_01,none,drone1,41.51,FAILED
825.56,fog,large,fog_large_01,none,drone2,41.85,FAILED
825.64,fog,large,fog_large_01,none,drone0,44.33,FAILED
826.26,fog,large,fog_large_01,none,drone1,41.45,FAILED
826.56,fog,large,fog_large_01,none,drone2,41.79,FAILED
826.64,fog,large,fog_large_01,none,drone0,44.27,FAILED
827.25,fog,large,fog_large_01,none,drone1,41.39,FAILED
827.56,fog,large,fog_large_01,none,drone2,41.73,FAILED
827.64,fog,large,fog_large_01,none,drone0,44.21,FAILED
828.25,fog,large,fog_large_01,none,drone1,41.33,FAILED
828.56,fog,large,fog_large_01,none,drone2,41.67,FAILED
828.64,fog,large,fog_large_01,none,drone0,44.15,FAILED
829.25,fog,large,fog_large_01,none,drone1,41.27,FAILED
829.56,fog,large,fog_large_01,none,drone2,41.61,FAILED
829.64,fog,large,fog_large_01,none,drone0,44.09,FAILED
830.26,fog,large,fog_large_01,none,drone1,41.21,FAILED
830.56,fog,large,fog_large_01,none,drone2,41.55,FAILED
830.64,fog,large,fog_large_01,none,drone0,44.03,FAILED
831.25,fog,large,fog_large_01,none,drone1,41.15,FAILED
831.56,fog,large,fog_large_01,none,drone2,41.49,FAILED
831.64,fog,large,fog_large_01,none,drone0,43.97,FAILED
832.25,fog,large,fog_large_01,none,drone1,41.09,FAILED
832.56,fog,large,fog_large_01,none,drone2,41.43,FAILED
832.64,fog,large,fog_large_01,none,drone0,43.91,FAILED
833.25,fog,large,fog_large_01,none,drone1,41.03,FAILED
833.56,fog,large,fog_large_01,none,drone2,41.37,FAILED
833.64,fog,large,fog_large_01,none,drone0,43.85,FAILED
834.25,fog,large,fog_large_01,none,drone1,40.97,FAILED
834.56,fog,large,fog_large_01,none,drone2,41.31,FAILED
834.64,fog,large,fog_large_01,none,drone0,43.79,FAILED
835.25,fog,large,fog_large_01,none,drone1,40.91,FAILED
835.56,fog,large,fog_large_01,none,drone2,41.25,FAILED
835.64,fog,large,fog_large_01,none,drone0,43.73,FAILED
836.25,fog,large,fog_large_01,none,drone1,40.85,FAILED
836.56,fog,large,fog_large_01,none,drone2,41.19,FAILED
836.64,fog,large,fog_large_01,none,drone0,43.67,FAILED
837.25,fog,large,fog_large_01,none,drone1,40.79,FAILED
837.56,fog,large,fog_large_01,none,drone2,41.13,FAILED
837.64,fog,large,fog_large_01,none,drone0,43.61,FAILED
838.25,fog,large,fog_large_01,none,drone1,40.73,FAILED
838.56,fog,large,fog_large_01,none,drone2,41.07,FAILED
838.64,fog,large,fog_large_01,none,drone0,43.55,FAILED
839.25,fog,large,fog_large_01,none,drone1,40.67,FAILED
839.56,fog,large,fog_large_01,none,drone2,41.01,FAILED
839.64,fog,large,fog_large_01,none,drone0,43.49,FAILED
840.25,fog,large,fog_large_01,none,drone1,40.61,FAILED
840.56,fog,large,fog_large_01,none,drone2,40.95,FAILED
840.64,fog,large,fog_large_01,none,drone0,43.43,FAILED
841.26,fog,large,fog_large_01,none,drone1,40.55,FAILED
841.56,fog,large,fog_large_01,none,drone2,40.89,FAILED
841.64,fog,large,fog_large_01,none,drone0,43.37,FAILED
842.26,fog,large,fog_large_01,none,drone1,40.49,FAILED
842.56,fog,large,fog_large_01,none,drone2,40.83,FAILED
842.64,fog,large,fog_large_01,none,drone0,43.31,FAILED
843.25,fog,large,fog_large_01,none,drone1,40.43,FAILED
843.56,fog,large,fog_large_01,none,drone2,40.77,FAILED
843.64,fog,large,fog_large_01,none,drone0,43.25,FAILED
844.25,fog,large,fog_large_01,none,drone1,40.37,FAILED
844.56,fog,large,fog_large_01,none,drone2,40.71,FAILED
844.64,fog,large,fog_large_01,none,drone0,43.19,FAILED
845.25,fog,large,fog_large_01,none,drone1,40.31,FAILED
845.56,fog,large,fog_large_01,none,drone2,40.65,FAILED
845.64,fog,large,fog_large_01,none,drone0,43.13,FAILED
846.25,fog,large,fog_large_01,none,drone1,40.25,FAILED
846.56,fog,large,fog_large_01,none,drone2,40.59,FAILED
846.64,fog,large,fog_large_01,none,drone0,43.07,FAILED
847.25,fog,large,fog_large_01,none,drone1,40.19,FAILED
847.56,fog,large,fog_large_01,none,drone2,40.53,FAILED
847.64,fog,large,fog_large_01,none,drone0,43.01,FAILED
848.25,fog,large,fog_large_01,none,drone1,40.13,FAILED
848.56,fog,large,fog_large_01,none,drone2,40.47,FAILED
848.64,fog,large,fog_large_01,none,drone0,42.95,FAILED
849.26,fog,large,fog_large_01,none,drone1,40.07,FAILED
849.56,fog,large,fog_large_01,none,drone2,40.41,FAILED
849.64,fog,large,fog_large_01,none,drone0,42.89,FAILED
850.25,fog,large,fog_large_01,none,drone1,40.01,FAILED
850.56,fog,large,fog_large_01,none,drone2,40.35,FAILED
850.64,fog,large,fog_large_01,none,drone0,42.83,FAILED
851.25,fog,large,fog_large_01,none,drone1,39.95,FAILED
851.56,fog,large,fog_large_01,none,drone2,40.29,FAILED
851.64,fog,large,fog_large_01,none,drone0,42.77,FAILED
852.25,fog,large,fog_large_01,none,drone1,39.89,FAILED
852.56,fog,large,fog_large_01,none,drone2,40.23,FAILED
852.64,fog,large,fog_large_01,none,drone0,42.71,FAILED
853.25,fog,large,fog_large_01,none,drone1,39.83,FAILED
853.56,fog,large,fog_large_01,none,drone2,40.17,FAILED
853.64,fog,large,fog_large_01,none,drone0,42.65,FAILED
